id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
869,"Esperanza Rising","Pam Muñoz Ryan","Historical Fiction","English",2000,"Scholastic","A wealthy Mexican girl is forced to flee to California and become a farm worker.",262,"history,immigration,family",4.07,"USA",TRUE,"Pura Belpré Award","Children",FALSE,,"978-0439120425"
870,"The Poet X","Elizabeth Acevedo","Poetry","English",2018,"HarperTeen","A slam poetry novel about a Dominican-American girl finding her voice.",368,"poetry,coming-of-age,latino",4.42,"USA",TRUE,"National Book Award","Young Adult",FALSE,,"978-0062662804"
871,"I'm Glad My Mom Died","Jennette McCurdy","Memoir","English",2022,"Simon & Schuster","A former child star recounts her abusive relationship with her mother.",320,"memoir,hollywood,abuse",4.55,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1982185824"
872,"Crying in H Mart","Michelle Zauner","Memoir","English",2021,"Knopf","A memoir about grief, food, and growing up Korean American.",239,"memoir,food,grief",4.28,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0525657743"
873,"Know My Name","Chanel Miller","Memoir","English",2019,"Viking","The powerful memoir of the survivor of the Stanford sexual assault case.",384,"memoir,justice,trauma",4.70,"USA",TRUE,"National Book Critics Circle Award","Adult",FALSE,,"978-0735223707"
874,"In the Dream House","Carmen Maria Machado","Memoir","English",2019,"Graywolf Press","A memoir about a domestic abuse relationship told through various narrative tropes.",251,"memoir,lgbt,abuse",4.52,"USA",TRUE,"None","Adult",FALSE,,"978-1644450031"
875,"My Dark Vanessa","Kate Elizabeth Russell","Fiction","English",2020,"William Morrow","A woman re-evaluates her relationship with her high school teacher years later.",373,"trauma,psychology,controversial",3.93,"USA",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-0062941503"
876,"Exciting Times","Naoise Dolan","Fiction","English",2020,"Ecco","A modern love triangle set in Hong Kong involving an Irish expat.",243,"romance,humor,satire",3.32,"Ireland",TRUE,"None","Adult",FALSE,,"978-0062968821"
877,"Luster","Raven Leilani","Fiction","English",2020,"Farrar, Straus & Giroux","A young black woman gets involved in an open marriage.",227,"race,art,satire",3.63,"USA",TRUE,"Kirkus Prize","Adult",FALSE,,"978-0374194321"
878,"Bossypants","Tina Fey","Memoir","English",2011,"Reagan Arthur","A humorous memoir from the SNL and 30 Rock creator.",277,"humor,biography,snl",3.96,"USA",TRUE,"None","Adult",FALSE,,"978-0316056861"
879,"Yes Please","Amy Poehler","Memoir","English",2014,"Dey Street","Stories and advice from the comedian and actress.",329,"humor,biography,feminism",3.83,"USA",TRUE,"None","Adult",FALSE,,"978-0062268341"
880,"Detransition, Baby","Torrey Peters","Fiction","English",2021,"One World","Three women—trans and cis—navigate a complicated pregnancy.",337,"lgbt,relationships,modern",3.96,"USA",TRUE,"Women's Prize Nominee","Adult",FALSE,,"978-0593133378"
881,"Greenlights","Matthew McConaughey","Memoir","English",2020,"Crown","Unconventional wisdom and life lessons from the actor.",304,"memoir,philosophy,hollywood",4.23,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593139134"
882,"Boyfriend Material","Alexis Hall","Romance","English",2020,"Sourcebooks Casablanca","A fake dating romance between a rock star's son and a barrister.",425,"romance,lgbt,humor",4.09,"UK",TRUE,"None","Adult",FALSE,,"978-1492693072"
883,"A Promised Land","Barack Obama","Memoir","English",2020,"Crown","The first volume of presidential memoirs from Barack Obama.",768,"memoir,politics,history",4.45,"USA",TRUE,"None","Adult",FALSE,,"978-1524763169"
884,"Less Than Zero","Bret Easton Ellis","Fiction","English",1985,"Simon & Schuster","A wealthy college student returns to Los Angeles for winter break.",195,"drugs,80s,nihilism",3.60,"USA",TRUE,"None","Adult",TRUE,1987,"978-0679781493"
885,"Elon Musk","Walter Isaacson","Biography","English",2023,"Simon & Schuster","An intimate story of the controversial innovator.",688,"biography,tech,business",4.20,"USA",TRUE,"None","Adult",FALSE,,"978-1982181284"
886,"Leonardo da Vinci","Walter Isaacson","Biography","English",2017,"Simon & Schuster","A biography of the Renaissance genius connecting his art and science.",600,"biography,art,history",4.24,"USA",TRUE,"None","Adult",FALSE,,"978-1501139154"
887,"The Song of the Lioness: Alanna","Tamora Pierce","Fantasy","English",1983,"Atheneum","A girl disguises herself as a boy to train as a knight.",274,"fantasy,magic,gender",4.27,"USA",TRUE,"None","Young Adult",FALSE,,"978-1442426412"
888,"Homo Deus: A Brief History of Tomorrow","Yuval Noah Harari","History","English",2015,"Harvill Secker","An exploration of the future of humanity.",448,"future,science,philosophy",4.25,"Israel",TRUE,"None","Adult",FALSE,,"978-0062464316"
889,"Wild Magic","Tamora Pierce","Fantasy","English",1992,"Atheneum","Daine has a wild magic that allows her to communicate with animals.",362,"fantasy,animals,magic",4.32,"USA",TRUE,"None","Young Adult",FALSE,,"978-1442435995"
890,"Chrestomanci: Charmed Life","Diana Wynne Jones","Fantasy","English",1977,"Macmillan","Cat Chant is a mediocre wizard overshadowed by his brilliant sister.",256,"magic,classic,kids",4.03,"UK",TRUE,"None","Children",FALSE,,"978-0064472685"
891,"Sabriel","Garth Nix","Fantasy","English",1995,"HarperCollins","A girl must enter the Old Kingdom to rescue her father from death.",491,"magic,necromancy,fantasy",4.16,"Australia",TRUE,"Aurealis Award","Young Adult",FALSE,,"978-0064471831"
892,"Lirael","Garth Nix","Fantasy","English",2001,"HarperCollins","A librarian with no magical sight discovers a destiny in the Old Kingdom.",496,"magic,library,adventure",4.23,"Australia",TRUE,"None","Young Adult",FALSE,,"978-0060005426"
893,"Abhorsen","Garth Nix","Fantasy","English",2003,"HarperCollins","The conclusion to the Old Kingdom trilogy facing the Destroyer.",358,"magic,necromancy,finale",4.26,"Australia",TRUE,"None","Young Adult",FALSE,,"978-0060005440"
894,"Graceling","Kristin Cashore","Fantasy","English",2008,"Harcourt","A girl graced with the skill of killing fights for her freedom.",471,"magic,romance,action",4.06,"USA",TRUE,"None","Young Adult",FALSE,,"978-0152063962"
895,"The Selection","Kiera Cass","Dystopian","English",2012,"HarperTeen","35 girls compete for the heart of a prince in a caste-based society.",336,"romance,dystopia,royalty",4.09,"USA",TRUE,"None","Young Adult",FALSE,,"978-0062059932"
896,"Red Queen","Victoria Aveyard","Fantasy","English",2015,"HarperTeen","A girl with red blood discovers she has the powers of the silver-blooded elite.",383,"fantasy,dystopia,powers",4.01,"USA",TRUE,"Goodreads Choice Award","Young Adult",FALSE,,"978-0062310637"
897,"Shatter Me","Tahereh Mafi","Dystopian","English",2011,"HarperCollins","A girl with a lethal touch is used as a weapon by a totalitarian regime.",338,"dystopia,romance,powers",3.96,"USA",TRUE,"None","Young Adult",FALSE,,"978-0062085504"
898,"Legend","Marie Lu","Dystopian","English",2011,"Putnam","A prodigy and a criminal cross paths in a dystopian America.",305,"dystopia,action,romance",4.16,"USA",TRUE,"None","Young Adult",FALSE,,"978-0399256752"
899,"An Ember in the Ashes","Sabaa Tahir","Fantasy","English",2015,"Razorbill","A slave and a soldier cross paths in a brutal empire inspired by ancient Rome.",446,"fantasy,romance,war",4.26,"USA",TRUE,"None","Young Adult",FALSE,,"978-1595148032"
900,"The Wrath and the Dawn","Renée Ahdieh","Fantasy","English",2015,"Putnam","A retelling of 1001 Nights where a girl volunteers to marry a murderous Caliph.",388,"retelling,romance,magic",4.14,"USA",TRUE,"None","Young Adult",FALSE,,"978-0399171611"
901,"Scythe","Neal Shusterman","Dystopian","English",2016,"Simon & Schuster","In a future where death has been conquered, Scythes are the only ones who can end life.",435,"dystopia,death,scifi",4.33,"USA",TRUE,"Printz Honor","Young Adult",FALSE,,"978-1442472426"
902,"Thunderhead","Neal Shusterman","Dystopian","English",2018,"Simon & Schuster","The Thunderhead cannot interfere in the affairs of the Scythedom, leading to chaos.",504,"dystopia,ai,sequel",4.49,"USA",TRUE,"None","Young Adult",FALSE,,"978-1442472457"
903,"The Toll","Neal Shusterman","Dystopian","English",2019,"Simon & Schuster","The conclusion to the Arc of a Scythe trilogy.",625,"dystopia,finale,epic",4.18,"USA",TRUE,"None","Young Adult",FALSE,,"978-1442472488"
904,"Unwind","Neal Shusterman","Dystopian","English",2007,"Simon & Schuster","Teens can be 'unwound'—having their body parts harvested for others—by parental order.",335,"dystopia,horror,survival",4.17,"USA",TRUE,"None","Young Adult",FALSE,,"978-1416912040"
905,"Horns","Joe Hill","Horror","English",2010,"William Morrow","A man wakes up with horns growing from his head and the power to make people confess their sins.",370,"horror,dark fantasy,revenge",3.92,"USA",TRUE,"None","Adult",TRUE,2013,"978-0061147955"
906,"NOS4A2","Joe Hill","Horror","English",2013,"William Morrow","A woman battles an immortal psychopath who kidnaps children to a place called Christmasland.",692,"horror,christmas,fantasy",3.92,"USA",TRUE,"Bram Stoker Award Nominee","Adult",TRUE,2019,"978-0062200570"
907,"Heart-Shaped Box","Joe Hill","Horror","English",2007,"William Morrow","An aging rock star buys a ghost online, but the spirit wants him dead.",376,"horror,ghosts,music",3.84,"USA",TRUE,"Bram Stoker Award","Adult",FALSE,,"978-0061147931"
908,"The Fireman","Joe Hill","Horror","English",2016,"William Morrow","A plague of spontaneous combustion threatens to burn civilization to the ground.",747,"horror,apocalypse,virus",3.92,"USA",TRUE,"Locus Award","Adult",FALSE,,"978-0062200631"
909,"Odd Thomas","Dean Koontz","Thriller","English",2003,"Bantam","A fry cook who can see the dead tries to prevent a massacre in his town.",399,"horror,mystery,supernatural",4.03,"USA",TRUE,"None","Adult",TRUE,2013,"978-0553584493"
910,"Watchers","Dean Koontz","Thriller","English",1987,"Putnam","A man and a genetically enhanced dog are hunted by a terrifying monster.",404,"horror,scifi,dog",4.17,"USA",TRUE,"None","Adult",TRUE,1988,"978-0425188804"
911,"Intensity","Dean Koontz","Thriller","English",1995,"Knopf","A young woman survives a serial killer's attack and pursues him to save his next victim.",308,"thriller,suspense,psychology",4.07,"USA",TRUE,"None","Adult",TRUE,1997,"978-0345533376"
912,"Phantoms","Dean Koontz","Horror","English",1983,"Putnam","Two sisters return to their hometown to find everyone dead or missing.",448,"horror,mystery,lovecraftian",3.92,"USA",TRUE,"None","Adult",TRUE,1998,"978-0425181102"
913,"Uprooted","Naomi Novik","Fantasy","English",2015,"Del Rey","A young woman is chosen to serve the Dragon, a wizard who protects the valley.",435,"magic,fairytale,romance",4.06,"USA",TRUE,"Nebula Award","Young Adult",FALSE,,"978-0804179034"
914,"Spinning Silver","Naomi Novik","Fantasy","English",2018,"Del Rey","A retelling of Rumpelstiltskin involving a moneylender's daughter and winter fae.",466,"magic,retelling,winter",4.23,"USA",TRUE,"Locus Award","Young Adult",FALSE,,"978-0399180989"
915,"The Bear and the Nightingale","Katherine Arden","Fantasy","English",2017,"Del Rey","A girl in medieval Russia can see folklore spirits that others cannot.",323,"fantasy,russia,history",4.11,"USA",TRUE,"None","Adult",FALSE,,"978-1101885932"
916,"The Girl in the Tower","Katherine Arden","Fantasy","English",2017,"Del Rey","Vasya disguises herself as a boy to travel across Russia.",363,"fantasy,adventure,sequel",4.27,"USA",TRUE,"None","Adult",FALSE,,"978-1101885963"
917,"The Winter of the Witch","Katherine Arden","Fantasy","English",2019,"Del Rey","Vasya must save Russia from both mortal and magical threats.",384,"fantasy,finale,russia",4.39,"USA",TRUE,"None","Adult",FALSE,,"978-1101886021"
918,"The Rosie Project","Graeme Simsion","Romance","English",2013,"Text Publishing","A genetics professor with Asperger's designs a questionnaire to find a wife.",295,"romance,humor,autism",4.00,"Australia",TRUE,"None","Adult",FALSE,,"978-1476729084"
919,"Britt-Marie Was Here","Fredrik Backman","Fiction","English",2014,"Partners in Stories","A nagging woman finds a new life coaching a children's soccer team.",324,"humor,sweden,heartwarming",4.07,"Sweden",TRUE,"None","Adult",TRUE,2019,"978-1501142543"
920,"My Grandmother Asked Me to Tell You She's Sorry","Fredrik Backman","Fiction","English",2013,"Forum","A girl delivers letters of apology from her eccentric grandmother after she dies.",372,"humor,family,sweden",4.02,"Sweden",TRUE,"None","Adult",FALSE,,"978-1501115066"
921,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","Jonas Jonasson","Satire","English",2009,"Piratförlaget","A centenarian escapes his nursing home and has a Forrest Gump-like adventure.",384,"humor,sweden,history",3.83,"Sweden",TRUE,"None","Adult",TRUE,2013,"978-1401324643"
922,"Are You There God? It's Me, Margaret","Judy Blume","Children's Fiction","English",1970,"Bradbury Press","A sixth-grader navigates puberty, religion, and growing up.",149,"classic,puberty,girls",4.00,"USA",TRUE,"None","Children",TRUE,2023,"978-1481409933"
923,"Tales of a Fourth Grade Nothing","Judy Blume","Children's Fiction","English",1972,"Dutton","Peter deals with his annoying little brother, Fudge.",120,"humor,siblings,classic",4.10,"USA",TRUE,"None","Children",FALSE,,"978-0142408810"
924,"Superfudge","Judy Blume","Children's Fiction","English",1980,"Dutton","The Hatcher family moves to Princeton, and Fudge is still a nuisance.",166,"humor,family,sequel",4.13,"USA",TRUE,"None","Children",FALSE,,"978-0142408803"
925,"Frindle","Andrew Clements","Children's Fiction","English",1996,"Simon & Schuster","A boy decides to invent a new word for 'pen' and starts a revolution.",105,"school,humor,language",4.16,"USA",TRUE,"Christopher Award","Children",FALSE,,"978-0689818769"
926,"Stargirl","Jerry Spinelli","Young Adult","English",2000,"Knopf","A nonconformist girl changes a high school with her ukulele and pet rat.",186,"school,conformity,romance",3.77,"USA",TRUE,"None","Young Adult",TRUE,2020,"978-0375822339"
927,"Maniac Magee","Jerry Spinelli","Children's Fiction","English",1990,"Little, Brown","An orphaned boy becomes a local legend for his athletic feats.",184,"race,legend,sports",3.96,"USA",TRUE,"Newbery Medal","Children",TRUE,2003,"978-0316809061"
928,"Because of Winn-Dixie","Kate DiCamillo","Children's Fiction","English",2000,"Candlewick","A girl adopts a dog she found in a grocery store.",182,"dog,friendship,south",4.06,"USA",TRUE,"Newbery Honor","Children",TRUE,2005,"978-0763680862"
929,"The Tale of Despereaux","Kate DiCamillo","Children's Fiction","English",2003,"Candlewick","A mouse falls in love with a princess and goes on a quest.",267,"fantasy,mouse,classic",3.98,"USA",TRUE,"Newbery Medal","Children",TRUE,2008,"978-0763680893"
930,"Shiloh","Phyllis Reynolds Naylor","Children's Fiction","English",1991,"Atheneum","A boy tries to save an abused beagle from its owner.",144,"dog,ethics,classic",4.09,"USA",TRUE,"Newbery Medal","Children",TRUE,1996,"978-0689835827"
931,"From the Mixed-Up Files of Mrs. Basil E. Frankweiler","E.L. Konigsburg","Children's Fiction","English",1967,"Atheneum","Two children run away and live in the Metropolitan Museum of Art.",168,"adventure,museum,classic",4.17,"USA",TRUE,"Newbery Medal","Children",TRUE,1973,"978-0689711819"
